รหัสสินค้า,รายละเอียด,หน่วยนับ,หมวด,สินค้าต้นงวด,จำนวนขาย,จำนวนซื้อ,จำนวนรับคืน,จำนวนปรับปรุง,จำนวนคงเหลือ,ต้นทุนสินค้ารวม,ราคาต้นทุนเฉลี่ย
028814,ก้ามปูแสตนเลส TM#02-MB-8814B,อัน,20,8,0,0,0,0,8,36.9231,4.6154
0288381141004,"*(ไม่ใช้)แผ่นตัดเหล็ก 4"" BIGPOWER 2มม.",แผ่น,10,3,0,0,0,-3,0,0,0
0288381141042,"*(ไม่ใช้)แผ่นเจียร์ Big power 7"" หนา # C-180-6",แผ่น,10,2,0,0,0,-2,0,0,0
0288381143503,"แผ่นตัดเหล็ก 14"" BIGPOWER C355-3*",แผ่น,10,2,0,0,0,0,2,0,0
029178014192,ลูกปืนอย่างดี NSK # 6203ZZ,ตลับ,89,5,1,0,0,0,4,0,0
029178014792,ลูกปืนอย่างดี NSK # 6203ZZ,ตลับ,89,19,0,0,0,0,19,1368,72
02A37004,"กลอนแสตนเลส 4"" TM#02-A370-04""B",อัน,20,1,24,72,0,0,49,1466.6438,29.9315
02A37004B,"กลอนแสตนเลส 4"" TM#02-A370-04""B(คู่)",แผง,20,24,4,0,0,0,20,1000,50
02A37006,"กลอนแสตนเลส 6"" TM#02-A370-06""B",อัน,20,2,2,70,0,0,70,2450,35
02A37010,"กลอนแสตนเลส 10"" TM#02-A370-10""B",อัน,20,14,0,0,0,0,14,770,55
02MB1054,"หูราวสแตนเลส 1""ทะลุ#02-MB-1054",ตัว,20,11,30,50,0,20,51,1530,30
02MB1055,"หูราวสแตนเลส 1""ตัน#02-MB-1055",ตัว,20,133,15,0,0,0,118,3540,30
02MB1111,"ขาราวผ้า STL 1ขั้น ขนาด 3/4""(FOX)",ชุด,89,12,0,0,0,0,12,1680,140
02MB138,กุญแจใน TM #02-MB-138,ชุด,80,8,21,72,0,0,59,1770,30
02MB305,ตัวดูดแม่เหล็กสแตนเลส (6/1),แพ็ค,20,3,0,0,0,0,3,90,30
02MB451,"บอลวาล์ว ผ.ผ. BRASS 1/2""",ตัว,60,0,43,100,6,0,63,2205,35
02MK160,"ขอสับแดงลมควัน 6"" AC TM",อัน,20,4,0,0,0,0,4,180,45
02XLF009,กลอนรูด TM-02-XL-F009-SS,ตัว,20,4,2,0,0,0,2,170,85
030180,"คีมปากเฉียง META 6"" #K22-35",อัน,80,0,6,24,0,0,18,1147.5,63.75
0310391519044,สีซุปเปอร์โค้ท นาโนเท็กซ์ 9ลิตร #044,ถัง,11,2,0,0,0,0,2,2029.91,1014.955
0310391519048,สีซุปเปอร์โค้ท นาโนเท็กซ์ 9ลิตร #048,ถัง,11,5,0,0,0,0,5,5177.57,1035.514
0310391523038,สีซุปเปอร์โค้ท นาโนเท็กซ์ 9ลิตร #038,กล.,40,1,0,0,0,0,1,355.14,355.14
0310391529039,สีซุปเปอร์โค้ท นาโนเท็กซ์ 9ลิตร #039,ถัง,11,1,0,0,0,0,1,1077.57,1077.57
0311120,สีซุปเปอร์ซิลด์กึ่งเงา #7576(9L),ถัง,40,1,0,0,0,0,1,1590.28,1590.28
0311201,สีซุปเปอร์ซิลด์กึ่งเงา G-201,ถัง,40,2,0,0,0,0,2,6560.75,3280.375
03120395113,สีน้ำมัน TOA G010 3 ลิตร,กล.,11,1,0,0,0,0,1,490.65,490.65
0312100,สีซุปเปอร์ซิลด์กึ่งเงา G-100,กล.,40,1,0,0,0,0,1,570.09,570.09
0370012,โปร่งแสงลอนคู่ 50x120 ขาวใส-เสือ,แผ่น,20,246,0,0,0,0,246,18582.4,75.5382
037103191878,ตลับเมตร นิโคลสัน 8 เมตร NTB48CME,อัน,80,11,0,0,0,0,11,2185.92,198.72
037103203588,"คีมปากจิ้งจก Nicholson 8""",อัน,80,2,0,0,0,0,2,364.8,182.4
037103203632,"คีมปากแหลม Nicholson 8""",อัน,80,1,0,0,0,0,1,194.4,194.4
037103203717,"คีมคอม้า Nicholson ด้ามหุ้มยาง 12""",ชิ้น,80,1,0,0,0,0,1,185.1429,185.1429
037103203755,"คีมล๊อคปากตรง นิโคลสัน 10"" 219111NB",ชุด,80,14,8,0,0,0,6,1510.1143,251.6857
037103203984,"เลื่อยลันดา นิโคลสัน  26""",อัน,80,5,1,0,0,0,4,820.8,205.2
037103204004,"เลื่อยแต่งกิ่ง(นิโคลสัน)  12""",ชุด,80,4,0,0,0,0,4,756,189
037103210579,ตลับเมตร นิโคลสัน 3 เมตร,อัน,80,45,2,0,0,0,43,1397.5,32.5
037103210586,ตลับเมตร นิโคลสัน 5 เมตร,อัน,89,15,15,0,0,0,0,0,0
037103210593,ตลับเมตร นิโคลสัน 8 เมตร NG048CME,อัน,80,36,31,12,0,0,17,3060,180
037103357335,"คีมล๊อคปากตรง นิโคลสัน 10"" 219111NB",ชุด,80,3,0,0,0,0,3,0,0
0372012,โปร่งแสงลอนเล็ก 54x120 ขาวใส-เสือ,แผ่น,20,53,0,0,0,0,53,4039.17,76.2108
038548001067,คีมล๊อคไว้สกริ๊พ # 10R,อัน,80,16,26,0,0,11,1,295,295
038548002903,"คีมบีปแป๊ป VISE-GRIP 7""",อัน,20,1,0,0,0,0,1,0,0
038548003016,"คีมล๊อค VISE-GRIP 7""",อัน,20,6,0,0,0,0,6,0,0
038548506661,"ปากกาจับชิ้นงาน QUICK-GRIP 6""",ตัว,80,1,0,0,0,0,1,0,0
0390212,โปร่งแสงลอนคู่ 50x120 ขาวใส-ดาว,แผ่น,20,177,0,0,0,0,177,12973.77,73.2981
03FU30AC,กุญแจประตูเลื่อนทรงกลม TM#03-FU-30-AC,ชุด,20,6,0,0,0,0,6,2400,400
