รหัสสินค้า,รายละเอียด,หน่วยนับ,หมวด,สินค้าต้นงวด,จำนวนขาย,จำนวนซื้อ,จำนวนรับคืน,จำนวนปรับปรุง,จำนวนคงเหลือ,ต้นทุนสินค้ารวม,ราคาต้นทุนเฉลี่ย
2000000037,"ข้อต่อตรงลด(มือ)สั้น ชั้น 13.5 5""x4""",ตัว,11,4,0,0,0,0,4,700.12,175.03
2000000038,"ข้อต่อตรงลด(มือ)สั้น ชั้น 13.5 6""x4""",ตัว,11,4,1,0,0,0,3,926.97,308.99
2000000039,"ข้อต่อตรงลด(มือ) ชั้น 13.5 6""x4""",ตัว,11,22,16,12,5,0,23,8923.2624,387.9679
2000000040,"ข้อต่อตรงลด(มือ) ชั้น 13.5 8""x6""",ตัว,11,0,0,6,0,0,6,8026.35,1337.725
2000000041,"ข้อต่อตรงลด(มือ)สั้น ชั้น 8.5 8""x6""",ตัว,11,3,0,0,0,0,3,1917.3625,639.1208
2000000042,"ข้อต่อตรง(มือ) ชั้น 13.5 8""",ตัว,11,13,0,0,0,0,13,12289.2943,945.3303
2000000043,"(ไม่ใช้)ข้อต่อตรง(มือ)ยาว ชั้น 8.5 5""",ตัว,02,11,0,0,0,0,11,1681.5765,152.8706
2000000044,"(ไม่ใชิ)ข้อต่อตรง(มือ)ยาว ชั้น 8.5 6""",ตัว,02,43,0,0,0,0,43,9828.0649,228.5596
2000000045,"ข้อต่อตรงลด(มือ)มาตรฐาน ชั้น 8.5 5""x4""",ตัว,02,51,1,0,0,0,50,9868.9861,197.3797
2000000046,"ฝาครอบ(มือ) 5""",ตัว,11,19,0,6,0,0,25,5687.7969,227.5119
2000000047,"ข้อต่อตรงลด(มือ)มาตรฐาน ชั้น 8.5 6""x3""",ตัว,11,13,4,0,0,0,9,3053.3751,339.2639
2000000048,"ข้อต่อตรงลด(มือ)มาตรฐาน ชั้น 8.5 8""x6""",ตัว,11,1,5,6,0,0,2,2029.229,1014.6145
2000000049,"ข้อต่อตรงมือมาตรฐาน ชั้น 8.5 8""",ตัว,02,7,4,0,0,0,3,1421.592,473.864
2000000050,"ข้อต่อตรงลด(มือ)มาตรฐาน ชั้น 8.5 5""x3""",ตัว,11,0,3,0,0,4,1,0,0
2000000051,"ข้อต่อตรงลด(มือ)มาตรฐาน ชั้น 8.5 6""x4""",ตัว,11,54,12,10,1,0,53,16472.3402,310.7989
2000000052,"ข้อต่อตรงมือมาตรฐาน ชั้น 8.5 5""",ตัว,02,29,12,10,0,0,27,4824.83,178.6974
2000000053,"ข้อต่อตรงลด(มือ)สั้น ชั้น 13.5 6""x5""",ตัว,11,2,0,0,0,0,2,550.7733,275.3867
2000000054,"ข้อต่อตรงเกลียวใน(มือ)ชั้น 8.5 8""",ตัว,02,2,0,0,0,0,2,787.625,393.8125
2000000055,"ข้อต่อตรงลด(มือ) ชั้น 13.5 6""x5""",ตัว,11,4,2,10,0,0,12,5449.6535,454.1378
2000000056,"ข้อต่อตรง(มือ) ชั้น 13.5 6""",ตัว,11,17,10,6,2,0,15,5761.1375,384.0758
2000000057,"ข้อต่อตรงมือมาตรฐาน ชั้น 13.5 5""",ตัว,11,3,0,6,0,0,9,1958.4499,217.6055
2000000058,"ข้อต่อตรงลด(มือ) ชั้น 13.5 5""x4""",ตัว,11,6,0,0,0,0,6,1736.8,289.4667
2000000059,"ข้อต่อตรงลด(มือ) ชั้น 13.5 6""x3""",ตัว,11,1,0,6,0,0,7,2831.205,404.4579
2000000060,"ข้อต่อตรงมือ ช่วงสั้น ชั้น 8.5 6""",ตัว,02,15,0,0,0,0,15,2536.6317,169.1088
2000000061,"ข้อต่อตรงมือมาตรฐาน ชั้น 8.5 6""",ตัว,02,7,11,20,0,0,16,4012.218,250.7636
2000000063,"ข้อต่อตรง(มือ) ชั้น 13.5 5""",ตัว,02,15,5,0,0,0,10,2260.8407,226.0841
2000000065,"ข้อต่อตรง(มือ) สั้น ชั้น 13.5 5""",ตัว,02,2,0,0,0,0,2,294.455,147.2275
2000000066,"ข้อต่อตรงเกลียวนอก(มือ) ชั้น 13.5 6""",ตัว,02,3,0,0,0,0,3,1536.9544,512.3181
2000000068,"ข้อต่อตรงมือ ช่วงสั้น ชั้น 8.5 5""",ตัว,02,18,0,0,0,0,18,1810.4544,100.5808
2000000069,"ข้อต่อตรงมือ ช่วงสั้น ชั้น 13.5 5""",ตัว,02,8,0,0,0,0,8,1217.48,152.185
2000000070,"ฝาครอบพีวีซี มือ 8""",อัน,89,0,0,6,0,0,6,4608.01,768.0017
2000000072,"ข้อต่อตรงลด(มือ)มาตรฐาน ชั้น 8.5 6""x5""",ตัว,11,5,0,0,0,0,5,1781.8,356.36
2000000073,"ข้อต่อตรงลด(มือ)สั้น ชั้น 13.5 6""x3""",ตัว,11,0,1,4,0,0,3,1057.8,352.6
2000000082,"ข้อต่อตรงลด(มือ)มาตรฐาน ชั้น 8.5 8""x4""",ตัว,11,0,0,4,0,0,4,3027.78,756.945
2000000086,"ข้อลดเหล็กหล่อต่อด้วยแหวนยาง 8""x6""",ตัว,11,1,0,0,0,0,1,4526.17,4526.17
2000001104,ต่อเกลียวใน-FEMALE ADAPTE 110*4,ตัว,11,1,0,0,0,0,1,720,720
2000001106,STUBEND 110 PN.6 ชุดข้าง,ชุด,11,1,0,0,0,0,1,668.85,668.85
2000120,"ลอนคู่ ""ตราช้าง""50x120x0.5 ซม.ขาว",แผ่น+,20,1835,0,0,0,0,1835,82777.46,45.1103
2000150,"ลอนคู่ ""ตราช้าง""50x150x0.5 ซม.ขาว",แผ่น,20,719,0,0,0,0,719,31733.9,44.1362
2000254254240,"ใบเลื่อยวงเดือน BIGWOOD 10""x24T*",ใบ,10,4,0,0,0,0,4,1824,456
2000254254301,"ใบเลื่อยวงเดือน BIGWOOD 10""x30T",ใบ,80,2,0,0,0,0,2,960,480
2000254254400,"ใบเลื่อยวงเดือน BIGWOOD 10""x40T*",ใบ,10,5,2,0,0,0,3,2070,690
2000254254608,"ใบเลื่อยวงเดือน BIGWOOD 10""x60T",ใบ,80,3,0,0,0,0,3,2520,840
2000300003136,"คีมมินิปากแหลม ASAKI 5""#AK-313 มีฟัน",อัน,80,5,2,0,0,0,3,107.3077,35.7692
2000300003143,"คีมปอกสาย-ตัดสายมินิ 5""ASAKI#AK-314",อัน,80,14,2,0,0,0,12,428,35.6667
2000305254304,"ใบเลื่อยวงเดือน BIGWOOD 12""x30T",ใบ,80,3,2,0,0,0,1,720,720
2000305254403,"ใบเลื่อยวงเดือน BIGWOOD 12""x40T",ใบ,80,1,1,0,0,0,0,0,0
2000305254601,"ใบเลื่อยวงเดือน BIGWOOD 12""x60T*",ใบ,10,3,0,0,0,0,3,2632.5,877.5
2001000042,ทรายหยาบ,คิว,20,489,197.5,210,1,0,502.5,159421.8944,317.2575
2001000043,หิน 3/4,คิว,20,107,94.5,97,0,0,109.5,80218.7837,732.5916
2001000044,ทรายถม,ลำ,20,10,6,6,0,0,10,2322.0032,232.2003
2001000046,หิน 3/8,คิว,20,0,7,7,0,0,0,200,0
2001000047,ทรายดอย,ลำ,20,1,0,0,0,0,1,800,800
2001000048,ทรายถม(ถูก),ลำ,89,0,4,4,0,0,0,0,0
2001000129,ทรายละเอียด,คิว,20,18,58,59,0,0,19,10804.33,568.6489
200110043,หิน (กส.),กส.,11,8476,116.5,0,0,0,8359.5,272.2489,0.0326
2002000001,ไม้อัดยาง 3 มม.เกรด A,แผ่น+,04,33,22,50,0,0,61,17939.5671,294.0913
2002000002,ไม้อัดยาง 3.5 มม.,แผ่น,04,1,0,0,0,0,1,0,0
2002000003,ไม้อัดยาง 4 มม.เกรด A*,แผ่น+,04,197,115,150,0,0,232,53456.5583,230.4162
2002000004,ไม้อัดยาง 6 มม.เกรด A*,แผ่น+,04,17,190,180,0,0,7,12544.4859,1792.0694
2002000005,ไม้อัดยาง 4 มม.B,แผ่น,04,127,5,0,0,0,122,10232.973,83.8768
2002000006,ไม้อัดยาง 6 มม.ช้าง,แผ่น+,04,1,0,0,0,0,1,0,0
2002000007,(ไม่ใช้)ไม้อัดยาง 10 มม.เกรด B,แผ่น,04,4,0,0,0,0,4,1440,360
2002000008,ไม้อัดยาง 10 มม.เกรด A*,แผ่น+,04,109,297,210,2,52,76,32150.4136,423.0318
2002000009,ไม้อัดยาง 15 มม.เกรด A,แผ่น+,04,56,51,80,1,0,86,55878.5827,649.751
2002000010,ไม้อัดยาง 20 มม.เกรด A,แผ่น+,04,13,12,30,0,0,31,33993.4461,1096.5628
2002000013,ไม้อัดชานอ้อย 9 มม.,แผ่น+,04,2,60,58,0,3,3,2100,700
2002000015,ไม้อัดสัก 3 มม.เกรด A,แผ่น+,04,2,0,0,0,0,2,600,300
2002000016,ไม้อัดสัก 4 มม.เกรด A*,แผ่น+,04,148,90,130,0,0,188,62309.3188,331.4325
2002000018,ไม้อัดสัก 6 มม.เกรด A*,แผ่น,89,23,125,130,0,0,28,19791.1552,706.827
2002000019,ไม้อัดสัก 6 มม.เกรด B,แผ่น,04,38,0,0,0,0,38,16340,430
2002000021,ไม้อัดปูเตียง A,แผ่น+,04,0,35,40,0,0,5,8943.0303,1788.6061
2002000022,ไม้อัดปูเตียง B,แผ่น+,04,1,0,0,0,0,1,1000,1000
2002000024,ไม้ปาติเกิ้ล 10 มม.,แผ่น+,04,13,0,0,0,0,13,2870,220.7692
2002000027,ไม้ปาติเกิ้ล 19 มม.เปลือย,แผ่น+,04,35,5,20,0,0,50,16466.0606,329.3212
2002000028,ประตูอัดยาง 60*180,บาน,04,12,0,0,0,0,12,0,0
2002000029,ประตูอัดยาง 60*200,บาน,04,-4,0,0,0,0,-4,0,0
2002000030,ประตูอัดยาง 70*180*,บาน,04,10,7,5,0,0,8,3263.8641,407.983
2002000031,ประตูอัดยาง 70*200,บาน,04,9,1,0,0,0,8,3930.6122,491.3265
2002000032,ประตูอัดยาง 80*180,บาน+,04,20,12,20,0,1,29,11107.5175,383.0178
2002000033,ประตูอัดยาง 80*200,บาน+,04,22,12,21,1,0,32,15311.4594,478.4831
2002000035,ประตูอัดยาง 90*200,บาน+,04,16,3,4,0,0,17,7703.6799,453.1576
2002000036,ประตูอัดยาง 100*200*,บาน+,04,-4,10,13,0,0,-1,-554.4531,554.4531
2002000039,ประตูอัดยางภายนอก 80*200,บาน,04,2,0,0,0,0,2,1340,670
2002000046,ประตูอัดสัก 70*180,บาน+,04,1,0,0,0,0,1,1830,1830
2002000047,ประตูอัดสัก 70*200,บาน+,04,-1,0,0,0,0,-1,0,0
2002000048,ประตูอัดสัก 80*180*,บาน+,04,-3,3,0,0,0,-6,2303.3273,-383.8879
2002000049,ประตูอัดสัก 80*200,บาน+,04,-8,1,0,0,0,-9,0,0
2002000050,ประตูอัดสัก 90*200,บาน+,04,3,2,0,0,0,1,518.125,518.125
2002000051,ประตูอัดสัก 100*200,บาน+,04,6,2,0,0,0,4,2422.0408,605.5102
2002000054,กระดาษอัด 3 มม.,แผ่น+,04,97,85,80,0,0,92,10090.2134,109.6762
2002000055,กระดาษอัด 6 มม.,แผ่น+,04,86,0,0,0,0,86,14280,166.0465
2002000056,กระดาษอัด 3 มม.เจาะรู,แผ่น,04,-4,0,0,0,0,-4,0,0
2002000060,โฟเมก้าขาว,แผ่น+,04,89,48,50,0,0,91,29010.2608,318.7941
2002000060-1,โฟเมก้าขาว(เสีย),แผ่น,04,5,0,0,0,0,5,0,0
2002000067,โฟเมก้า # 9215(แดง),แผ่น+,04,1,0,0,0,0,1,550,550
2002000070,คีรีบอร์ดขาว 3 มม.ไส้ไม้,แผ่น+,04,-18,0,0,0,0,-18,0,0
2002000071,คีรีบอร์ดขาว 4 มม.ไส้ไม้,แผ่น+,89,827,61,50,0,0,816,300032.3571,367.6867
2002000072,คีรีบอร์ดไผ่เล็ก # 007,แผ่น,04,-4,0,0,0,0,-4,0,0
2002000074,คีรีบอร์ดสักดำ # 017,แผ่น,04,33,0,0,0,0,33,9240,280
2002000075,คีรีบอร์ดบานชื่น # 024,แผ่น,04,-8,0,0,0,0,-8,0,0
2002000076,คีรีบอร์ด # 052,แผ่น,04,-2,0,0,0,0,-2,0,0
2002000077,คีรีบอร์ดไม้ฉำฉา # P006,แผ่น,04,1,0,0,0,0,1,0,0
2002000079,คีรีบอร์ดสักทอง # P040,แผ่น,04,39,0,0,0,0,39,10920,280
2002000080,คีรีบอร์ดไม้สัก # P002,แผ่น,04,-3,0,0,0,0,-3,-990,330
2002000081,คีรีบอร์ดหินอ่อน # P005,แผ่น,04,-5,0,0,0,0,-5,0,0
2002000082,คีรีบอร์ดเซาะร่อง # P004,แผ่น,04,124,0,0,0,0,124,36580,295
2002000083,คีรีบอร์ด # P054,แผ่น,04,-5,0,0,0,0,-5,0,0
2002000086,คีรีบอร์ดลายภูเขา # P301,แผ่น,04,-1,0,0,0,0,-1,0,0
2002000089,ลูกกรงไม้แดง,ต้น,20,-241,0,0,0,0,-241,0,0
2002000090,ลูกกรงไม้ฉำฉา,ต้น,20,151,0,0,0,0,151,2784,18.4371
2002000091,ลูกกรงไม้มะค่า,ต้น,20,0,8,0,0,8,0,0,0
2002000094,แม่บันไดไม้แดง,ต้น,20,12,0,0,0,0,12,2860,238.3333
2002000101,เส้นประตูมิเนียม 6 ม.,เส้น,20,-8,0,0,0,0,-8,0,0
2002000103,เส้นกลางมิเนียม 6 ม.,เส้น,20,-3,0,0,0,0,-3,0,0
2002000104,เส้นหน้าต่างมิเนียม 6 ม.,เส้น*,20,-56,0,0,0,0,-56,0,0
2002000106,ฉากมิเนียม 5/8*240 ซม.,เส้น,20,20,0,0,0,0,20,0,0
2002000110,ขอบไม้อัด 240 ซม.,เส้น,20,6,7,0,3,2,4,61,15.25
2002000114,ขอ ป.ปลา 5 นิ้ว,ชุด,20,42255,154,0,0,0,42101,34254.1992,0.8136
2002000115,ขอ ป.ปลา 6 นิ้ว,ชุด,20,141685,112,2000,0,0,143573,152848.0529,1.0646
2002000116,ขอ ป.ปลา 7 นิ้ว,ชุด,20,85973,0,0,0,0,85973,85998.6523,1.0003
2002000117,ขอ ป.ปลา 8 นิ้ว,ชุด,20,28813,0,0,0,0,28813,31141.6734,1.0808
2002000118,ขอ ป.ปลา 9 นิ้ว,ชุด,20,8139,0,0,0,0,8139,10076.73,1.2381
2002000119,ขอเกาะสีรุ้ง 8 นิ้ว 13-14 กก.,ตัว,20,28963,0,0,0,0,28963,27668.6929,0.9553
2002000120,ขอเกาะสีรุ้ง 8 นิ้ว 17 กก.,ตัว,20,90,92,0,0,200,198,277.2,1.4
2002000121,ขอเกาะสีรุ้ง 8 นิ้ว 20 กก.,ตัว,20,4837,1072,0,150,0,3915,4669.2661,1.1927
2002000122,ขอเกาะสีรุ้ง 8 นิ้ว 30 กก.,ตัว,20,42617,953,0,0,0,41664,60974.6593,1.4635
2002000123,ขอเกาะสีรุ้ง 8 นิ้ว 16 กก.,ตัว,20,7315,0,0,0,0,7315,5519.2727,0.7545
2002000127,สลักเกลียว 8 นิ้ว,ชุด,20,5701,0,0,0,0,5701,4560.75,0.8
2002000128,สลักเกลียว 10 นิ้ว,ตัว,20,5002,0,0,0,0,5002,4251.7,0.85
2002000129,สลักเกลียว 12 นิ้ว,ตัว,20,2002,0,0,0,0,2002,1901.9,0.95
2002000130,น๊อตยึดกระเบื้อง 2 นิ้ว,ชุด,20,1937.4437,0,0,0,0,1937.4437,0,0
2002000131,น๊อตยึดกระเบื้อง 2 1/2 นิ้ว,ตัว,20,6291.3167,10,0,0,0,6281.3167,0,0
2002000132,น๊อตยึดกระเบื้อง 3 นิ้ว,ตัว,20,131,173,0,0,217,175,9125,52.1429
2002000133,น๊อตยึดกระเบื้อง 3 1/2 นิ้ว,ตัว,20,1702.3278,132,0,0,0,1570.3278,63733.0118,40.5858
2002000134,น๊อตยึดกระเบื้อง 4 นิ้ว,ตัว,20,13671.8336,205,0,0,0,13466.8336,9320.2971,0.6921
2002000135,เส้นประตูมุ้งลวด 6 ม.,เส้น,20,-5,0,0,0,0,-5,0,0
2002000139,ตะแกรงสาน 1 1/4*80*200,ผืน,20,-7,0,0,0,0,-7,0,0
2002000140,ลวดถัก 1.20 ม.,กิโล,20,73.1,0,0,0,0,73.1,1934.97,26.4702
2002000141,ลวดถัก 1.50 ม.,กิโล,20,83,0,0,0,0,83,3990.54,48.0788
2002000149,ท่อปูน 4x1.00 เมตร,ท่อน+,20,4,0,0,0,0,4,546.2653,136.5663
2002000149-1,ท่อปูน 4x1.00 เมตร(เสีย),ท่อน+,20,18,0,0,0,0,18,0,0
2002000150,ท่อปูน 4x1.50 เมตร,ท่อน,20,266,0,0,0,0,266,5410.9474,20.3419
2002000151,ท่อปูน 4x2.00 เมตร,ท่อน,20,26,316,300,0,0,10,1038.1395,103.814
2002000152,ท่อปูน 4x3.00 เมตร,ท่อน,20,32,91,100,0,0,41,2595,63.2927
2002000153,ท่อปูน 6x1.00 เมตร,ท่อน,20,2,0.7,0,0,0,1.3,121.4583,93.4295
2002000154,ท่อปูน 6x2.00 เมตร,ท่อน,20,36,9,0,0,0,27,2680.7114,99.2856
2002000155,ท่อปูน 6x3.00 เมตร,ท่อน,20,74,12,0,0,0,62,5541.1729,89.3738
2002000156,ท่อปูน 8x3.00 เมตร,ท่อน,20,79,59,45,0,0,65,11522.9246,177.2758
2002000157,ข้องอปูน 4 นิ้ว,ตัว,20,-1,0,0,0,0,-1,0,0
2002000158,ข้องอปูน 6 นิ้ว,ตัว,20,-2,0,0,0,0,-2,0,0
2002000160,สามทางปูน 4 นิ้ว,ตัว,20,0,1,0,0,1,0,0,0
2002000191,ลูกกรงแก้วเคลือบมุกขาว 40 ซม.,ต้น,20,52,0,0,0,0,52,3900,75
2002000195,บานประตู PVC แชมป์ 70*180 C-1 สีเทา,บาน,20,7,0,0,0,0,7,9044,1292
2002000196,บานประตู PVC แชมป์ 70*180 C-2 สีเทา,บาน,20,-1,0,0,0,0,-1,0,0
2002000200,บานประตู PVC แชมป์ 70*180 C-1 สีครีม,บาน,20,1,0,0,0,0,1,2584,2584
2002000201,บานประตู PVC แชมป์ 70*180 C-2 สีครีม,บาน,20,-1,0,0,0,0,-1,0,0
2002000203,บานประตู PVC แชมป์ 70*180 C-4 สีครีม,บาน,20,4,0,0,0,0,4,7106,1776.5
2002000204,บานประตู PVC แชมป์ 70*180 C-5 สีครีม,บาน,20,1,0,0,0,0,1,1615,1615
2002000211,บานประตู PVC แชมป์ 70*200 C-3 สีครีม,บาน,20,-2,0,0,0,0,-2,0,0
2002000213,บานประตู PVC แชมป์ 70*200 M-4 สีโอ๊ก,บาน,20,-2,0,0,0,0,-2,0,0
2002000218,บานประตู PVC คอเพียส 70*180 A-1 สีเทา,บาน,20,2,0,0,0,0,2,1944,972
2002000220,บานประตู PVC คอเพียส 70*180 A-3 สีเทา,บาน,20,3,0,0,0,0,3,3078,1026
2002000221,บานประตู PVC คอเพียส 70*180 A-1 สีครีม,บาน,20,5,0,0,0,0,5,2735,547
2002000233,วงกบ PVC แชมป์ 70*180 แกรนิต-เทา,ชุด,20,-1,0,0,0,0,-1,0,0
2002000237,วงกบ PVC แชมป์ 70*180 สีครีม,ชุด,20,9,0,0,0,0,9,4356,484
2002000240,วงกบ PVC แชมป์ 70*200 สีครีม,ชุด,20,8,0,0,0,0,8,3872,484
2002000242,วงกบ PVC แชมป์ 80*200 สีเทา,ชุด,20,-1,0,0,0,0,-1,0,0
2002000254,บานประตูไม้เนื้อแข็ง 90*200 K-302,บาน,04,2,0,0,0,0,2,5000,2500
2002000275,ยิปซั่มบอร์ด 60*60 สราญรมณ์ 108 สีเขียว,แผ่น,20,-34,0,0,0,0,-34,0,0
2002000278,ยิปซั่มบอร์ด 60*60 สราญรมณ์ 102 สีครีม,แผ่น,20,-10,0,0,0,0,-10,0,0
2002000280,ยิปซั่มบอร์ด 60*60 สราญรมณ์ 117 สีครีม,แผ่น,20,-56,0,0,0,0,-56,0,0
2002000283,เพลาขาว 5/8*6 ม.,เมตร,89,43.72,290.9,360,3,0,115.82,6556.6316,56.6105
2002000284,เพลาขาว 3/4*6 ม.,เมตร,03,582.35,285.745,300,1,0,597.605,35031.2948,58.6195
2002000285,เพลาขาว 1*6 ม.,เมตร,89,114.9983,403.66,360,12,0,83.3383,9643.6964,115.7175
2002000286,เพลาขาว11/4*6 ม.,เมตร,89,91.04,566.31,540,2,0,66.73,11384.8977,170.6114
2002000287,เพลาขาว11/2*6 ม.,เมตร,20,846.975,136.51,180,12.5,0,902.965,205896.4339,228.0226
2002000288,เพลาขาว2*6 ม.,เมตร,89,7.915,74.49,90,0,0,23.425,11531.9446,492.2922
2002000289,เพลาขาว 1 3/4*6 ม.,เมตร,03,34.93,73.91,30,0,6.78,-2.2,5596.9368,-2544.0622
2002000291,"แป๊ปโครเมี่ยม 1/2""",ท่อน,03,-1,0,0,0,0,-1,0,0
2002000295,บล็อกแก้ว ฟองแก้ว,ก้อน,20,381,69,0,0,0,312,14600.2093,46.7955
2002000296,บล็อกแก้ว จตุรัสแก้ว,ก้อน,20,121,0,0,0,0,121,7443.84,61.5193
2002000298,บล็อกแก้ว ประกายแก้ว,ก้อน,20,-25,0,60,0,0,35,2467.3,70.4943
2002000300,บล็อกแก้ว 1908/K,ก้อน,20,-12,0,0,0,0,-12,0,0
2002000301,บล็อกแก้ว 1908/T,ก้อน,20,6,0,0,0,0,6,0,0
2002000303,บล็อกแก้ว 1908/W,ก้อน,20,-14,0,0,0,0,-14,0,0
2002000307,"แป๊ปมิเนียม 3/8""",ท่อน,03,12.7,0,0,0,0,12.7,1399.7738,110.2184
2002000308,"แป๊ปมิเนียม 1/2""",ท่อน,03,42.7,0,0,0,0,42.7,2578.4557,60.3854
2002000309,"แป๊ปมิเนียม 5/8""",เมตร,03,-38,0,0,0,0,-38,0,0
2002000310,"แป๊ปมิเนียม 3/4""",เมตร,03,355.56,6,0,0,0,349.56,6127.6177,17.5295
2002000311,"แป๊ปมิเนียม 1""",เมตร,03,306.695,0,0,0,0,306.695,6566.5602,21.4107
2002000312,"คร่าวริมอลูมิเนียม [3/4""]",เส้น,20,847,18,0,0,0,829,32478.2203,39.1776
2002000313,คร่าวหลักอลูมิเนียม,เส้น,20,283,0,0,0,0,283,11603,41
2002000314,คร่าวซอยอลูมิเนียม,เส้น,20,4584,0,0,0,0,4584,18794.4,4.1
2002000315,หินเกล็ดขาว # 2,ถุง+,20,17,0,0,0,0,17,612.7391,36.0435
2002000316,หินเกล็ดขาว # 3,ถุง,20,96,17,0,0,0,79,4074.1211,51.5712
2002000317,หินเกล็ดขาว # 3 1/2,ถุง,20,44,16,0,0,0,28,1263.878,45.1385
2002000318,หินเกล็ดขาว # 4,ถุง,20,89,44,0,0,0,45,1966.2506,43.6945
2002000320,หินเกล็ดขาวคัดพิเศษ # 3 1/2,ถุง,20,3,0,0,0,0,3,0,0
2002000323,หินเกล็ดดำ # 3,ถุง,20,78,23,0,0,0,55,3721,67.6545
2002000324,หินเกล็ดดำ # 3 1/2,ถุง,20,110,6,0,0,0,104,5065.2278,48.7041
2002000325,หินเกล็ดดำ # 4,ถุง,20,163,13,0,0,0,150,10255.3699,68.3691
2002000329,หินเกล็ดเหลือง # 4,ถุง,20,2,0,0,0,0,2,240,120
2002000331,หินเกล็ดชมพู # 3,ถุง,20,18,0,0,0,0,18,3100,172.2222
2002000332,หินเกล็ดชมพู # 3 1/2,ถุง,20,-4,0,0,0,0,-4,0,0
2002000333,หินเกล็ดชมพู # 4,ถุง,20,17,2,0,0,0,15,2300,153.3333
2002000335,หินเกล็ดน้ำตาล # 3 1/2,ถุง,20,-1,0,0,0,0,-1,0,0
2002000339,ทรายทะเล # 3 1/2,ถุง,20,-5,0,0,0,0,-5,830,-166
2002000340,ทรายทะเล # 4(ม่วงทอง),ถุง,20,51,0,0,0,0,51,4488,88
2002000341,ตะปูตอกสังกะสีตราตะขาบ,กล่อง,20,1409,20,0,0,0,1389,6702.4528,4.8254
2002000342,ตะปูตอกสังกะสีตราหัววัวแดง,กล่อง,20,914,169,0,1,0,746,6285.5884,8.4257
2002000343,ใยแก้วลอนคู่ใส 1.20 ม.,แผ่น,20,240,20,25,0,0,245,18366.3071,74.9645
2002000344,ใยแก้วลอนคู่(พระอาทิตย์) 1.20 ม.,แผ่น,11,52,0,0,0,0,52,6990,134.4231
2002000345,ใยแก้วลอนเล็ก 1.20 ม.,แผ่น,20,124,40,0,32,0,116,8609.4415,74.2193
2002000346,ใยแก้วสังกะสีลอนเล็ก 5 ฟุต,แผ่น,20,76,19,0,0,0,57,6565.876,115.1908
2002000347,ใยแก้วสังกะสีลอนเล็ก 6 ฟุต,แผ่น,20,65,37,25,1,0,54,8721.9457,161.5175
2002000348,ใยแก้วสังกะสีลอนเล็ก 7 ฟุต,แผ่น,20,113,21,25,0,0,117,18694.3403,159.7807
2002000349,ใยแก้วสังกะสีลอนเล็ก 8 ฟุต,แผ่น,20,37,47,40,0,0,30,7791.9938,259.7331
2002000350,ใยแก้วสังกะสีลอนเล็ก 9 ฟุต,แผ่น,20,78,19,20,0,0,79,15971.1589,202.1666
2002000351,ใยแก้วสังกะสีลอนเล็ก 10 ฟุต,แผ่น,20,48,19,20,0,0,49,10778.6211,219.9719
2002000357,"NOตาข่าย #10 รู 1"" สูง 1 ม.",ตรม.,25,27.2,0,0,0,0,27.2,4460.8,164
2002000358,"NOข่าย #10 รู 1 1/2"" สูง 1 1/2 ม.",ตรม.,25,74.625,0,0,0,0,74.625,8644.25,115.8358
2002000359,"NOตาข่าย #10 รู 1"" สูง 1 1/2 ม.",ตรม.,25,116.95,0,0,0,0,116.95,19179.8,164
2002000360,"NOตาข่าย #10 รู 1"" สูง 2 ม.",ตรม.,25,164.7,0,0,0,0,164.7,27010.8,164
2002000361,"NOตาข่าย #10 รู 1 1/2"" สูง 2 ม.",ตรม.,25,125.6,0,0,0,0,125.6,13816,110
2002000362,"NOตาข่าย #10 รู 2"" สูง 1 ม.",ตรม.,25,18.78,0,0,0,0,18.78,1633.86,87
2002000363,"NOตาข่าย #10 รู 2"" สูง 1 1/2 ม.",ตรม.,25,179.15,0,0,0,0,179.15,15586.05,87
2002000364,"NOตาข่าย #10 รู 1 1/2"" สูง 1 ม.",ตรม.,25,112,0,0,0,0,112,12320,110
2002000365,"NOตาข่าย #10 รู 2"" สูง 2 ม.",ตรม.,25,178.2,0,0,0,0,178.2,15503.4,87
2002000366,"NOตาข่าย #12 รู 1"" สูง 1 ม.",ตรม.,25,196.74,0,0,0,0,196.74,21444.66,109
2002000367,"NOตาข่าย #12 รู 2"" สูง 1 ม.",ตรม.,25,177.12,0,0,0,0,177.12,11512.8,65
2002000368,"NOตาข่าย #12 รู 1"" สูง 1 1/2 ม.",ตรม.,25,224.375,0,0,0,0,224.375,24456.875,109
2002000369,"NOตาข่าย #12 รู 2"" สูง 2 ม.",ตรม.,25,240.5,0,0,0,0,240.5,16584.7,68.9593
2002000370,"NOตาข่าย #12 รู 1"" สูง 2 ม.",ตรม,25,291.48,0,0,0,0,291.48,27764.57,95.2538
2002000371,"NOตาข่าย #12 รู 2"" สูง1 1/2 ม.",ตรม.,25,147.9,0,0,0,0,147.9,9613.5,65
2002000372,"NOตาข่าย #12 รู 1 1/2"" สูง1 1/2 ม.",ตรม.,25,230.725,0,0,0,0,230.725,19178.275,83.1218
2002000373,"NOตาข่าย #12 รู 1 1/2"" สูง 1 ม.",ตรม.,25,176.56,0,0,0,0,176.56,13595.12,77
2002000374,"NOตาข่าย #12 รู 1 1/2"" สูง 2 ม.",ตรม.,25,266.6,0,0,0,0,266.6,20528.2,77
2002000388,(NO)กาวยาแนว แอพชิพโด # 901,ถุง,20,144,0,0,0,0,144,1824,12.6667
